Disease,Symptoms,Specialist
Common Cold,"runny nose,sore throat,cough,congestion,sneezing,mild headache,mild body aches",General Physician / Internist
Influenza (Flu),"fever,chills,muscle aches,cough,congestion,runny nose,headaches,fatigue",General Physician / Internist
COVID-19,"fever,cough,fatigue,loss of taste or smell,sore throat,headache,shortness of breath",General Physician / Pulmonologist
Strep Throat,"sore throat,pain when swallowing,fever,red and swollen tonsils,tiny red spots on roof of mouth,swollen lymph nodes",General Physician / ENT Specialist
Pneumonia,"cough with phlegm,fever,chills,difficulty breathing,chest pain when breathing or coughing",Pulmonologist / General Physician
Bronchitis,"cough,production of mucus (sputum),fatigue,shortness of breath,slight fever and chills,chest discomfort",Pulmonologist / General Physician
Tuberculosis (TB),"persistent cough for three weeks or more,coughing up blood,chest pain,unintentional weight loss,fatigue,fever,night sweats,chills",Infectious Disease Specialist / Pulmonologist
Malaria,"fever,chills,headache,nausea and vomiting,muscle pain,fatigue,sweating",Infectious Disease Specialist / General Physician
Dengue Fever,"high fever,severe headache,pain behind the eyes,severe joint and muscle pain,fatigue,nausea,vomiting,skin rash",Infectious Disease Specialist / General Physician
Chickenpox,"itchy blister-like rash,fever,loss of appetite,headache,tiredness",Pediatrician / General Physician
Measles,"cough,runny nose,inflamed eyes (conjunctivitis),sore throat,fever,a red, blotchy skin rash",Pediatrician / Infectious Disease Specialist
Hypertension (High Blood Pressure),"often asymptomatic,headaches,shortness of breath,nosebleeds,dizziness",Cardiologist / General Physician
Coronary Artery Disease (CAD),"chest pain (angina),shortness of breath,fatigue,heart attack",Cardiologist
Heart Failure,"shortness of breath,fatigue and weakness,swelling in legs, ankles and feet,rapid or irregular heartbeat,persistent cough or wheezing",Cardiologist
Myocardial Infarction (Heart Attack),"chest pain or discomfort,pain in other areas of the upper body,shortness of breath,cold sweat,nausea,lightheadedness",Cardiologist / Emergency Medicine
